Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
147,34,5,19,5,Some Random Commen with Id 147
148,34,5,188,6,Some Random Commen with Id 148
149,35,1,8,4,Some Random Commen with Id 149
150,35,1,64,4,Some Random Commen with Id 150
151,36,8,7,5,Some Random Commen with Id 151
152,36,8,190,5,Some Random Commen with Id 152
153,36,8,110,4,Some Random Commen with Id 153
154,36,8,106,3,Some Random Commen with Id 154
155,37,0,67,8,Some Random Commen with Id 155
156,37,0,116,7,Some Random Commen with Id 156
157,37,0,25,2,Some Random Commen with Id 157
158,37,0,178,7,Some Random Commen with Id 158
159,37,0,5,2,Some Random Commen with Id 159
160,37,0,20,0,Some Random Commen with Id 160
161,37,0,152,7,Some Random Commen with Id 161
162,37,0,71,0,Some Random Commen with Id 162
163,38,7,65,6,Some Random Commen with Id 163
164,38,7,22,6,Some Random Commen with Id 164
165,39,8,48,2,Some Random Commen with Id 165
